code,name,codename,division_type,short_codename,phone_code,level,parent_code
1,Thành phố Hà Nội,ha_noi,thành phố trung ương,,24,1,
4,Phường Ba Đình,phuong_ba_dinh,phường,ba_dinh,,2,1
8,Phường Ngọc Hà,phuong_ngoc_ha,phường,ngoc_ha,,2,1
25,Phường Giảng Võ,phuong_giang_vo,phường,giang_vo,,2,1
70,Phường Hoàn Kiếm,phuong_hoan_kiem,phường,hoan_kiem,,2,1
82,Phường Cửa Nam,phuong_cua_nam,phường,cua_nam,,2,1
91,Phường Phú Thượng,phuong_phu_thuong,phường,phu_thuong,,2,1
97,Phường Hồng Hà,phuong_hong_ha,phường,hong_ha,,2,1
103,Phường Tây Hồ,phuong_tay_ho,phường,tay_h    o,,2,1
118,Phường Bồ Đề,phuong_bo_de,phường,bo_de,,2,1
127,Phường Việt Hưng,phuong_viet_hung,phường,viet_hung,,2,1
136,Phường Phúc Lợi,phuong_phuc_loi,phường,phuc_loi,,2,1
145,Phường Long Biên,phuong_long_bien,phường,long_bien,,2,1
160,Phường Nghĩa Đô,phuong_nghia_do,phường,nghia_do,,2,1
166,Phường Cầu Giấy,phuong_cau_giay,phường,cau_giay,,2,1
175,Phường Yên Hòa,phuong_yen_hoa,phường,yen_hoa,,2,1
190,Phường Ô Chợ Dừa,phuong_o_cho_dua,phường,o_cho_dua,,2,1
199,Phường Láng,phuong_lang,phường,lang,,2,1
226,Phường Văn Miếu - Quốc Tử Giám,phuong_van_mieu_quoc_tu_giam,phường,van_mieu_quoc_tu_giam,,2,1
229,Phường Kim Liên,phuong_kim_lien,phường,kim_lien,,2,1
235,Phường Đống Đa,phuong_dong_da,phường,dong_da,,2,1
256,Phường Hai Bà Trưng,phuong_hai_ba_trung,phường,hai_ba_trung,,2,1
283,Phường Vĩnh Tuy,phuong_vinh_tuy,phường,vinh_tuy,,2,1
292,Phường Bạch Mai,phuong_bach_mai,phường,bach_mai,,2,1
301,Phường Vĩnh Hưng,phuong_vinh_hung,phường,vinh_hung,,2,1
