id,name,code,bin,shortName,logo,transferSupported,lookupSupported,short_name,support,isTransfer,swift_code
17,Ngân hàng TMCP Công thương Việt Nam,ICB,970415,VietinBank,https://cdn.vietqr.io/img/ICB.png,1,1,VietinBank,3,1,ICBVVNVX
43,Ngân hàng TMCP Ngoại Thương Việt Nam,VCB,970436,Vietcombank,https://cdn.vietqr.io/img/VCB.png,1,1,Vietcombank,3,1,BFTVVNVX
4,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,BIDV,970418,BIDV,https://cdn.vietqr.io/img/BIDV.png,1,1,BIDV,3,1,BIDVVNVX
42,Ngân hàng Nông nghiệp và Phát triển Nông thôn Việt Nam,VBA,970405,Agribank,https://cdn.vietqr.io/img/VBA.png,1,1,Agribank,3,1,VBAAVNVX
26,Ngân hàng TMCP Phương Đông,OCB,970448,OCB,https://cdn.vietqr.io/img/OCB.png,1,1,OCB,3,1,ORCOVNVX
21,Ngân hàng TMCP Quân đội,MB,970422,MBBank,https://cdn.vietqr.io/img/MB.png,1,1,MBBank,3,1,MSCBVNVX
38,Ngân hàng TMCP Kỹ thương Việt Nam,TCB,970407,Techcombank,https://cdn.vietqr.io/img/TCB.png,1,1,Techcombank,3,1,VTCBVNVX
2,Ngân hàng TMCP Á Châu,ACB,970416,ACB,https://cdn.vietqr.io/img/ACB.png,1,1,ACB,3,1,ASCBVNVX
47,Ngân hàng TMCP Việt Nam Thịnh Vượng,VPB,970432,VPBank,https://cdn.vietqr.io/img/VPB.png,1,1,VPBank,3,1,VPBKVNVX
39,Ngân hàng TMCP Tiên Phong,TPB,970423,TPBank,https://cdn.vietqr.io/img/TPB.png,1,1,TPBank,3,1,TPBVVNVX
36,Ngân hàng TMCP Sài Gòn Thương Tín,STB,970403,Sacombank,https://cdn.vietqr.io/img/STB.png,1,1,Sacombank,3,1,SGTTVNVX
12,Ngân hàng TMCP Phát triển Thành phố Hồ Chí Minh,HDB,970437,HDBank,https://cdn.vietqr.io/img/HDB.png,1,1,HDBank,3,1,HDBCVNVX
44,Ngân hàng TMCP Bản Việt,VCCB,970454,VietCapitalBank,https://cdn.vietqr.io/img/VCCB.png,1,1,VietCapitalBank,3,1,VCBCVNVX
31,Ngân hàng TMCP Sài Gòn,SCB,970429,SCB,https://cdn.vietqr.io/img/SCB.png,1,1,SCB,3,1,SACLVNVX
45,Ngân hàng TMCP Quốc tế Việt Nam,VIB,970441,VIB,https://cdn.vietqr.io/img/VIB.png,1,1,VIB,3,1,VNIBVNVX
35,Ngân hàng TMCP Sài Gòn - Hà Nội,SHB,970443,SHB,https://cdn.vietqr.io/img/SHB.png,1,1,SHB,3,1,SHBAVNVX
10,Ngân hàng TMCP Xuất Nhập khẩu Việt Nam,EIB,970431,Eximbank,https://cdn.vietqr.io/img/EIB.png,1,1,Eximbank,3,1,EBVIVNVX
22,Ngân hàng TMCP Hàng Hải Việt Nam,MSB,970426,MSB,https://cdn.vietqr.io/img/MSB.png,1,1,MSB,3,1,MCOBVNVX
53,TMCP Việt Nam Thịnh Vượng - Ngân hàng số CAKE by VPBank,CAKE,546034,CAKE,https://cdn.vietqr.io/img/CAKE.png,1,1,CAKE,3,1,
54,TMCP Việt Nam Thịnh Vượng - Ngân hàng số Ubank by VPBank,Ubank,546035,Ubank,https://cdn.vietqr.io/img/UBANK.png,1,1,Ubank,3,1,
