code,name,description
VN-BN,Ba Na,"Dân tộc Ba Na"
VN-BY,Bố Y,"Dân tộc Bố Y"
VN-BR,Brâu,"Dân tộc Brâu"
VN-BK,Bru-Vân Kiều,"Dân tộc Bru-Vân Kiều"
VN-CH,Chăm,"Dân tộc Chăm"
VN-CR,Chơ Ro,"Dân tộc Chơ Ro"
VN-CRU,Chu-Ru,"Dân tộc Chu-Ru"
VN-CHT,Chứt,"Dân tộc Chứt"
VN-CO,Co,"Dân tộc Co"
VN-KHO,Cơ Ho,"Dân tộc Cơ Ho"
VN-CL,Cờ Lao,"Dân tộc Cờ Lao"
VN-CT,Cơ Tu,"Dân tộc Cơ Tu"
VN-CG,Cống,"Dân tộc Cống"
VN-DA,Dao,"Dân tộc Dao"2
VN-EE,Ê-Đê,"Dân tộc Ê-Đê"
VN-GR,Gia Rai,"Dân tộc Gia Rai"
VN-GI,Giáy,"Dân tộc Giáy"
VN-GT,Gié-Triêng,"Dân tộc Gié-Triêng"
VN-HN,Hà Nhì,"Dân tộc Hà Nhì"
VN-HOA,Hoa,"Dân tộc Hoa"
VN-HRE,Hrê,"Dân tộc Hrê"
VN-KHA,Kháng,"Dân tộc Kháng"
VN-KHM,Khmer,"Dân tộc Khmer"
VN-KM,Khơ Mú,"Dân tộc Khơ Mú"
VN-KH,Kinh,"Dân tộc Kinh"
VN-LC,La Chí,"Dân tộc La Chí"
VN-LH,La Ha,"Dân tộc La Ha"
VN-LHU,La Hủ,"Dân tộc La Hủ"
VN-LA,Lào,"Dân tộc Lào"
VN-LL,Lô Lô,"Dân tộc Lô Lô"
VN-LU,Lự,"Dân tộc Lự"
VN-MA,Mạ,"Dân tộc Mạ"
VN-MG,Mảng,"Dân tộc Mảng"
VN-MN,Mnông,"Dân tộc Mnông"
VN-HM,Mông,"Dân tộc Mông (H'Mông)"
VN-MU,Mường,"Dân tộc Mường"
VN-NG,Ngái,"Dân tộc Ngái"
VN-NU,Nùng,"Dân tộc Nùng"
VN-OD,Ơ Đu,"Dân tộc Ơ Đu"
VN-PTH,Pà Thẻn,"Dân tộc Pà Thẻn"
VN-PL,Phù Lá,"Dân tộc Phù Lá"
VN-PP,Pu Péo,"Dân tộc Pu Péo"
VN-RG,Ra Glay,"Dân tộc Ra Glay"
VN-RM,Rơ Măm,"Dân tộc Rơ Măm"
VN-SC,Sán Chay,"Dân tộc Sán Chay"
VN-SDU,Sán Dìu,"Dân tộc Sán Dìu"
VN-SL,Si La,"Dân tộc Si La"
VN-TO,Tà Ôi,"Dân tộc Tà Ôi"
VN-TY,Tày,"Dân tộc Tày"
VN-TH,Thái,"Dân tộc Thái"
VN-THO,Thổ,"Dân tộc Thổ"
VN-XM,Xinh Mun,"Dân tộc Xinh Mun"
VN-XD,Xơ Đăng,"Dân tộc Xơ Đăng"
VN-XT,Xtiêng,"Dân tộc Xtiêng"
VN-NN,Người Nước Ngoài,"Người mang quốc tịch / dân tộc nước ngoài"
VN-KHAC,Dân Tộc Khác,"Các dân tộc khác"
